Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
blade,0.86,0.79,62.2%,0.93,68.3,0.58,2016-06-14,2016-09-12
LILMAN,1.03,0.76,68.5%,1.04,77.8,0.71,2016-06-14,2016-09-12
Toy,1.02,0.71,69.2%,1.01,73.4,0.67,2016-06-14,2016-09-12
haptiiC,0.93,0.75,65.3%,0.97,70.1,0.61,2016-06-14,2016-09-12
mummAy,0.98,0.71,65.7%,1.01,70.2,0.68,2016-06-14,2016-09-12
nsww,0.97,0.70,67.7%,0.88,73.9,0.65,2016-06-14,2016-09-12
z1,1.09,0.67,67.3%,1.22,75.2,0.72,2016-06-14,2016-09-12
fenvicious,1.05,0.73,69.6%,1.06,79.5,0.69,2016-06-14,2016-09-12
vvalter,0.85,0.74,60.2%,0.87,66.7,0.59,2016-06-14,2016-09-12
RobbeN,0.91,0.79,69.9%,0.92,74.6,0.58,2016-06-14,2016-09-12
Jada,1.04,0.70,71.4%,1.05,73.8,0.66,2016-06-14,2016-09-12
Lyhn,0.96,0.75,67.8%,0.93,72.0,0.71,2016-06-14,2016-09-12
Kheops,1.09,0.74,71.8%,1.06,84.5,0.76,2016-06-14,2016-09-12
a1RO,0.95,0.72,67.2%,1.00,67.9,0.65,2016-06-14,2016-09-12
lamp,0.84,0.77,61.0%,0.77,70.6,0.61,2016-06-14,2016-09-12
Barkk,1.14,0.72,67.6%,1.26,86.7,0.76,2016-06-14,2016-09-12
DEV7L,1.18,0.68,73.4%,1.25,80.7,0.79,2016-06-14,2016-09-12
oKKo,1.04,0.67,69.2%,1.03,76.6,0.68,2016-06-14,2016-09-12
ZEDKO,1.13,0.63,72.5%,1.09,79.9,0.73,2016-06-14,2016-09-12
LOMME,1.00,0.72,69.2%,1.00,75.1,0.66,2016-06-14,2016-09-12
squidi,0.93,0.71,66.2%,0.94,67.7,0.59,2016-06-14,2016-09-12
EXR,0.85,0.73,64.4%,0.74,66.4,0.57,2016-06-14,2016-09-12
holzt,0.73,0.74,56.3%,0.68,59.6,0.49,2016-06-14,2016-09-12
st1cker,1.10,0.65,72.5%,1.09,74.6,0.72,2016-06-14,2016-09-12
HECTOz,0.95,0.71,62.7%,1.03,67.9,0.66,2016-06-14,2016-09-12
Morpheos,1.21,0.63,74.6%,1.17,84.7,0.79,2016-06-14,2016-09-12
marq,0.96,0.67,72.0%,0.81,72.4,0.62,2016-06-14,2016-09-12
Rub3nix,1.05,0.67,71.2%,1.05,77.4,0.67,2016-06-14,2016-09-12
breAker,1.09,0.67,71.3%,1.06,75.3,0.72,2016-06-14,2016-09-12
Imp,1.06,0.71,73.0%,1.10,71.5,0.68,2016-06-14,2016-09-12
Jinx,1.15,0.67,73.0%,1.23,78.0,0.76,2016-06-14,2016-09-12
Europha,1.07,0.69,73.7%,1.01,78.6,0.65,2016-06-14,2016-09-12
Muselet,1.18,0.67,77.4%,1.15,83.3,0.75,2016-06-14,2016-09-12
flashie,0.96,0.74,66.2%,0.98,74.5,0.65,2016-06-14,2016-09-12
ROK3T,1.18,0.61,75.4%,1.17,78.8,0.70,2016-06-14,2016-09-12
NEY,0.93,0.75,65.0%,0.90,75.6,0.60,2016-06-14,2016-09-12
rbfurious,1.01,0.72,71.2%,0.99,73.3,0.68,2016-06-14,2016-09-12
NyX,1.12,0.68,69.2%,1.07,87.0,0.74,2016-06-14,2016-09-12
st0Le,1.06,0.73,68.3%,1.13,76.7,0.72,2016-06-14,2016-09-12
Mariuchii,0.87,0.67,65.1%,0.77,63.6,0.59,2016-06-14,2016-09-12
revyy,1.10,0.70,66.5%,1.22,76.9,0.77,2016-06-14,2016-09-12
gabesson,0.82,0.77,63.1%,0.74,66.2,0.56,2016-06-14,2016-09-12
mat1,0.95,0.69,66.1%,0.91,68.6,0.64,2016-06-14,2016-09-12
allow,1.15,0.70,74.4%,1.18,81.9,0.78,2016-06-14,2016-09-12
k1tkat,1.09,0.72,70.4%,1.12,82.8,0.71,2016-06-14,2016-09-12
KarriBob,0.99,0.63,70.1%,0.86,67.2,0.62,2016-06-14,2016-09-12
b0RUP,1.08,0.73,67.3%,1.19,78.7,0.74,2016-06-14,2016-09-12
BERRY,0.84,0.77,62.6%,0.82,69.3,0.57,2016-06-14,2016-09-12
FNS,0.93,0.73,69.1%,0.84,71.0,0.61,2016-06-14,2016-09-12
SicK,1.14,0.72,73.2%,1.21,81.7,0.76,2016-06-14,2016-09-12
SEMPHIS,0.99,0.69,68.2%,0.97,70.4,0.65,2016-06-14,2016-09-12
YJ,1.08,0.68,71.4%,1.08,79.8,0.69,2016-06-14,2016-09-12
exit,1.19,0.65,67.6%,1.20,89.3,0.81,2016-06-14,2016-09-12
jnt,1.27,0.69,71.4%,1.48,90.6,0.84,2016-06-14,2016-09-12
raafa,1.06,0.64,70.8%,1.07,71.2,0.66,2016-06-14,2016-09-12
dmm,1.05,0.72,67.0%,1.16,75.8,0.74,2016-06-14,2016-09-12
DeStRoYeR,0.98,0.75,67.8%,0.99,76.3,0.67,2016-06-14,2016-09-12
Sa7,1.02,0.75,67.3%,1.09,79.4,0.70,2016-06-14,2016-09-12
baal,0.94,0.75,69.5%,0.92,72.6,0.63,2016-06-14,2016-09-12
luk,0.89,0.71,66.7%,0.85,63.2,0.58,2016-06-14,2016-09-12
Veeker,0.72,0.70,61.5%,0.56,54.4,0.45,2016-06-14,2016-09-12
Mr.six,1.14,0.72,68.0%,1.29,83.5,0.77,2016-06-14,2016-09-12
Drea3er,1.09,0.70,72.0%,1.09,78.7,0.74,2016-06-14,2016-09-12
0i,1.01,0.76,70.1%,1.02,77.2,0.69,2016-06-14,2016-09-12
QuQu,1.01,0.76,69.0%,0.95,80.2,0.69,2016-06-14,2016-09-12
Rita,0.94,0.74,68.6%,0.90,73.4,0.61,2016-06-14,2016-09-12
hpp,1.20,0.86,59.1%,1.54,98.3,0.91,2016-06-14,2016-09-12
buster,0.84,0.91,59.1%,0.66,77.8,0.64,2016-06-14,2016-09-12
flomaster,0.80,0.95,63.6%,0.77,70.4,0.68,2016-06-14,2016-09-12
