Date,Team1,Team2,Map,Team1_Win,Team2_Win
2016-08-23,G2,Envy,Train,0,1
2016-08-23,fnatic,mousesports,Dust2,1,0
2016-08-23,DarkPassage,AGG,Cobblestone,0,1
2016-08-23,Kazakhstan,Croatia,Overpass,1,0
2016-08-23,Croatia,Kazakhstan,Dust2,1,0
2016-08-23,Croatia,Kazakhstan,Cache,0,1
2016-08-23,G2,Envy,Nuke,0,1
2016-08-23,mousesports,fnatic,Cache,0,1
2016-08-23,Refuse,EURONICS,Train,0,1
2016-08-23,X,Kinguin,Train,1,0
2016-08-23,AlienTech,XPC,Mirage,0,1
2016-08-23,NiP,Dignitas,Nuke,1,0
2016-08-23,Virtus.pro,X,Train,1,0
2016-08-23,X,Virtus.pro,Mirage,0,1
2016-08-23,Dignitas,NiP,Dust2,1,0
2016-08-24,Splyce,Complexity,Overpass,1,0
2016-08-24,Splyce,Complexity,Cobblestone,0,1
2016-08-24,eUnited,Immortals,Mirage,0,1
2016-08-24,Immortals,eUnited,Dust2,0,1
2016-08-24,onestop,Legacy,Train,1,0
2016-08-24,Legacy,onestop,Cache,0,1
2016-08-24,Immunity,Athletico,Mirage,0,1
2016-08-24,Athletico,Immunity,Overpass,0,1
2016-08-24,Estonia,Hungary,Mirage,1,0
2016-08-24,XPC,Preparation,Cobblestone,0,1
2016-08-24,NiP,Envy,Dust2,0,1
2016-08-24,mousesports,Dignitas,Cobblestone,1,0
2016-08-24,Envy,NiP,Nuke,0,1
2016-08-24,Dignitas,mousesports,Mirage,0,1
2016-08-25,OpTic,eUnited,Mirage,1,0
2016-08-25,Splyce,Immortals,Train,0,1
2016-08-25,OpTic,eUnited,Cache,1,0
2016-08-25,Splyce,Immortals,Cobblestone,0,1
2016-08-25,Cloud9,Complexity,Overpass,1,0
2016-08-25,Selfless,Winterfox,Dust2,1,0
2016-08-25,Complexity,Cloud9,Train,0,1
2016-08-25,Winterfox,Selfless,Mirage,1,0
2016-08-24,Hungary,Estonia,Cobblestone,0,1
2016-08-25,autocracy,MVP Project,Train,0,1
2016-08-24,Space Jam,Preparation,Mirage,1,0
2016-08-25,MVP Project,autocracy,Mirage,1,0
2016-08-24,Space Jam,Preparation,Cache,0,1
2016-08-25,Spain,Bulgaria,Overpass,1,0
2016-08-24,Space Jam,Preparation,Nuke,0,1
2016-08-24,Spirit,AGG,Overpass,1,0
2016-08-24,AGG,Spirit,Mirage,0,1
2016-08-24,Rogue,ALTERNATE aTTaX,Cobblestone,0,1
2016-08-24,Rogue,ALTERNATE aTTaX,Train,0,1
2016-08-24,PRIDE,EURONICS,Nuke,0,1
2016-08-24,EURONICS,PRIDE,Cache,0,1
2016-08-24,PRIDE,EURONICS,Train,1,0
2016-08-24,HellRaisers,G2,Dust2,0,1
2016-08-24,FlipSid3,Astralis,Overpass,0,1
2016-08-25,Spain,Bulgaria,Cache,1,0
2016-08-25,AGG,Spirit,Mirage,1,0
2016-08-25,AGG,Spirit,Cobblestone,0,1
2016-08-25,AGG,Spirit,Dust2,0,1
2016-08-25,FlipSid3,Dignitas,Cobblestone,0,1
2016-08-25,fnatic,G2,Dust2,0,1
2016-08-24,Iceland,Slovenia,Mirage,1,0
2016-08-25,Czech Republic,Portugal,Cache,1,0
2016-08-26,Swift,DarkPassage,Mirage,0,1
2016-08-24,Slovenia,Iceland,Dust2,1,0
2016-08-25,Czech Republic,Portugal,Dust2,0,1
2016-08-26,Montenegro,Finland,Mirage,0,1
2016-08-24,Slovenia,Iceland,Cache,0,1
2016-08-24,G2,HellRaisers,Nuke,1,0
2016-08-24,Astralis,FlipSid3,Train,1,0
2016-08-25,Portugal,Czech Republic,Cobblestone,1,0
2016-08-25,Epiphany Bolt,ANOX,Overpass,0,1
2016-08-25,Epiphany Bolt,ANOX,Dust2,1,0
2016-08-25,ANOX,Epiphany Bolt,Mirage,0,1
2016-08-25,G2,fnatic,Cache,0,1
2016-08-25,Dignitas,FlipSid3,Overpass,1,0
2016-08-25,FaZe,NiP,Cache,0,1
2016-08-25,Astralis,Envy,Mirage,0,1
2016-08-25,Astralis,Envy,Train,1,0
2016-08-25,NiP,FaZe,Cache,1,0
2016-08-26,NRG,Immortals,Overpass,0,1
2016-08-26,Cloud9,CLG,Mirage,1,0
2016-08-26,Immortals,NRG,Cache,1,0
