Name,KD,Wins,Losses,Winning_Percentage,Player_1,Player_2,Player_3,Player_4,Player_5,Start_Date,End_Date
Pnda,0.69,1,4,0.2,mummAy,blade,LILMAN,Toy,haptiiC,2016-06-14,2016-09-12
FENNEC ,0.86,3,5,0.375,RobbeN,Jada,Lyhn,Kheops,a1RO,2016-06-14,2016-09-12
Comanche,0.80,0,8,0.0,nsww,z1,fenvicious,vvalter,lamp,2016-06-14,2016-09-12
Montenegro,0.99,4,3,0.5714285714285714,Maden,Gigi,artie,Barkk,Lobanjica,2016-06-14,2016-09-12
Czech Republic,1.15,5,2,0.7142857142857143,KAPARZO,DEV7L,oKKo,BLUEE,ZEDKO,2016-06-14,2016-09-12
Space Jam,0.92,3,4,0.42857142857142855,uNdo,It's my,FANAT ROCKA,balblna,moonsh1n3,2016-06-14,2016-09-12
AlienTech,1.11,11,4,0.7333333333333333,KILLDREAM,marq,Pizituh,Rub3nix,ScRm,2016-06-14,2016-09-12
Croatia,1.02,5,3,0.625,rbfurious,NyX,st0Le,Mariuchii,revyy,2016-06-14,2016-09-12
X,1.13,54,22,0.7105263157894737,MODDII,valde,Friis,gla1ve,Snappi,2016-06-14,2016-09-12
Hungary,0.85,0,2,0.0,flashie,NEY,gabesson,DeadFox,mat1,2016-06-14,2016-09-12
autocracy,1.08,9,6,0.6,allow,Jinx,Europha,Muselet,ROK3T,2016-06-14,2016-09-12
Bulgaria,1.05,4,3,0.5714285714285714,minko,pNshr,psycho,NK4Y,v1c7oR,2016-06-14,2016-09-12
Slovenia,0.99,5,3,0.625,bomez,Imp,saveeey,MaTaFe,guGi,2016-06-14,2016-09-12
Swift,1.15,5,2,0.7142857142857143,st1cker,Morpheos,breAker,KarriBob,k1tkat,2016-06-14,2016-09-12
Isak,0.70,0,2,0.0,BERRY,EXR,holzt,b0RUP,HECTOz,2016-06-14,2016-09-12
Alpha,0.91,9,17,0.34615384615384615,BERRY,LOMME,JUGi,niko,squidi,2016-06-14,2016-09-12
BOOT,0.89,12,19,0.3870967741935484,dmm,DeStRoYeR,Sa7,baal,Ethan,2016-06-14,2016-09-12
ProGaming,1.06,7,5,0.5833333333333334,YJ,exit,jnt,raafa,luk,2016-06-14,2016-09-12
Lithuania,1.07,4,2,0.6666666666666666,TORAS,kreuw,meesHa,Veeker,lukjjE,2016-06-14,2016-09-12
HUEHUE,0.98,4,3,0.5714285714285714,meesHa,bland,t1mzy,andzie,stopSHOT,2016-06-14,2016-09-12
Preparation.Yellow,0.87,1,1,0.5,bugge,KriLLe,Meddo,shadow,MITZAN,2016-06-14,2016-09-12
Crowns,1.11,4,2,0.6666666666666666,benny,Jayzwalkingz,Krewmer,zape,xajdish,2016-06-14,2016-09-12
Venko,0.81,0,1,0.0,v1N,xillian,Bernard,axrRRRRR,G1DO,2016-06-14,2016-09-12
LDLC,1.00,10,10,0.5,ALEX,to1nou,Ex6TenZ,matHEND,BouLy,2016-06-14,2016-09-12
Luminosity,1.03,10,9,0.5263157894736842,yel,PKL,nak,DeStiNy,bit,2016-06-14,2016-09-12
IDM,0.84,2,6,0.25,kenshex,GW,maeda,Fluyr,BRNZ1K,2016-06-14,2016-09-12
Crashers,0.78,0,2,0.0,gustaviN,titi,Batistuta,LosK,frozeN,2016-06-14,2016-09-12
Chosen5,0.89,5,9,0.35714285714285715,Foolz,ISSAA,hunt3rr,VIPPEER,Zerocool,2016-06-14,2016-09-12
Entropy,1.05,4,3,0.5714285714285714,tedderzy,DuDe,mantuu,royk,b0bbzki,2016-06-14,2016-09-12
Just.MSI,0.73,0,1,0.0,mds,Nyuma,MJE,CMEPTb,purgen,2016-06-14,2016-09-12
nevermind,0.92,0,2,0.0,shhhack,ZywOo,EMENK,derciak,nexa,2016-06-14,2016-09-12
Infused,0.91,3,5,0.375,Puls3,jenko,redSNK,AaroN,Lumji,2016-06-14,2016-09-12
ATB,1.36,4,0,1.0,tecek,ponczek,darko,matty,michi,2016-06-14,2016-09-12
somalia,0.64,0,1,0.0,kev1n,uN1,t4styy,DeniMM,wizzem,2016-06-14,2016-09-12
zARLANS,0.71,0,1,0.0,neaLaN,hpp,buster,flomaster,Galantis,2016-06-14,2016-09-12
Team123,1.10,2,1,0.6666666666666666,rezex,Celrate,fr0slev,acoR,kr1zzer,2016-06-14,2016-09-12
FIVE,0.95,8,11,0.42105263157894735,Mr.six,Drea3er,0i,QuQu,Rita,2016-06-14,2016-09-12
TSM,0.97,11,21,0.34375,FNS,SicK,SEMPHIS,Twistzz,autimatic,2016-06-14,2016-09-12
Rulz,0.70,0,2,0.0,g0DLIKE,V1ns,moNster,uNk,RIVAGE,2016-06-14,2016-09-12
Synthetik,0.58,0,3,0.0,theguy,TaM,jayy,c4Lypso,wAKKa,2016-06-14,2016-09-12
Wizards,0.88,2,5,0.2857142857142857,rezex,Celrate,fr0slev,acoR,kr1zzer,2016-06-14,2016-09-12
Spain,1.07,2,2,0.5,arki,Kairi,SOKER,loWel,alex,2016-06-14,2016-09-12
