Radiant_Score,Dire_Score,Win,Radiant_Gold_Per_Minute_Per_Game,Radiant_XP_Per_Minute_Per_Game,Radiant_Lane_Efficient_Points_Per_Game,Radiant_Stuns_Per_Game,Radiant_Tower_Kills_Per_Game,Radiant_Actions_Per_Minute,Dire_Gold_Per_Minute_Per_Game,Dire_XP_Per_Minute_Per_Game,Dire_Lane_Efficient_Points_Per_Game,Dire_Stuns_Per_Game,Dire_Tower_Kills_Per_Game,Dire_Actions_Per_Minute
0,0,1,2379.36,2370.59,296.94,141.57000000000002,6.16,692.67,2092.3599999999997,2120.03,284.25,123.67,5.4,860.96
0,0,0,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6,2256.5,2183.4399999999996,309.53,115.36,6.05,798.8299999999999
8,39,1,2142.79,2333.5099999999998,318.9,122.16000000000001,4.03,1087.48,1976.44,2185.38,279.12,106.86,4.55,871.62
19,28,1,2041.76,2555.89,262.94,164.54,3.26,1436.3,2303.29,2770.5299999999997,127.14,114.37,0.9800000000000001,822.0600000000001
26,35,1,2718.7799999999997,2548.84,369.48,116.41,7.39,997.61,2307.6899999999996,2202.8999999999996,304.85,99.91000000000001,5.89,805.58
23,7,0,2157.41,2436.91,294.77,140.47,5.93,1002.7799999999999,1985.67,2252.07,262.41,113.60000000000001,4.9799999999999995,801.1499999999999
0,0,1,2465.66,2432.0,315.32,191.74,6.92,716.3599999999999,2384.0499999999997,2311.41,337.15,155.7,6.24,927.91
15,36,1,1950.99,2317.33,243.15000000000003,176.13,3.27,995.06,2227.29,2506.21,289.28999999999996,135.19,5.17,1014.32
28,7,0,2000.9799999999998,2211.25,252.73999999999998,160.95,5.140000000000001,1022.8899999999999,2273.7599999999998,2394.79,304.2,123.29,6.32,1097.5900000000001
24,3,0,2505.0699999999997,2707.46,344.98,158.29,6.31,1103.1299999999999,2413.24,2614.42,336.61,160.02999999999997,6.17,1084.06
24,17,0,3042.6800000000003,3074.54,364.19999999999993,82.12,9.97,1592.89,2391.05,2572.37,341.32,149.68,7.3,1020.0600000000002
42,17,0,2235.0,2539.5099999999998,288.79,197.65,5.220000000000001,1772.6,2391.05,2572.37,341.32,149.68,7.3,1020.0600000000002
12,43,1,2161.78,2492.6800000000003,254.0,190.94,4.15,1292.83,2391.05,2572.37,341.32,149.68,7.3,1020.0600000000002
9,29,1,2161.78,2492.6800000000003,254.00000000000003,190.94,4.15,1292.83,2391.05,2572.37,341.32,149.68,7.3,1020.0600000000002
0,0,0,2610.3199999999997,2565.08,313.41999999999996,146.20999999999998,7.49,1452.5,2516.4599999999996,2442.47,351.5,161.29,6.97,1158.6
0,0,1,2235.3199999999997,2257.73,291.83,144.10000000000002,5.4799999999999995,788.3299999999999,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
