Account_ID,Name,Country_Code,Team_ID,Team_Name,Team_Tag,Date
893135754,zipzap,mk,7565202,,   ,2020-05-29
876110702,Ergon,,7119388,Team Spirit,TSpirit,2020-05-29
869108920,Roflex,,6953335,Vega Academy,Vega,2020-05-29
849271412,Lorelei,,6270648,Zugzwang,ZZ,2020-05-29
847621405,JMAA Nation,us,6662123,Dub Gods,DG,2020-05-29
841756969,Adamsson,,0,,,2020-05-29
840005878,b4x4zZz,kz,0,CyberDogs,CDogs,2020-05-29
486157553,█ █ █,,6658167,Jesus e amigos,,2020-05-29
480412663,gpk~,,6209143,Gambit Esports,Gambit,2020-05-29
470392491,Meliodas,cn,7406964,The New Top,TNT,2020-05-29
468599935,ASD,cn,0,Revive,Revive,2020-05-29
447402880,ShinymF,,0,,,2020-05-29
433962427,S-TryhardPingwin,,0,,,2020-05-29
426764440,yaha,,0,Execration.安博电竞,XctN,2020-05-29
425075046,@iSonic,br,7684851,THD DERROTA,THD,2020-05-29
412758827,esK,mx,7747949,_, ,2020-05-29
412753955,Nikobaby,bg,111474,Alliance,Alliance,2020-05-29
412413765,StoneBank**,ua,6740284,TEAM HEROIC,Heroic,2020-05-29
410485012,GoDNeSS,,0,Team Blink,Blink,2020-05-29
407321629,Frank,pe,6382242,Thunder Predator,ThunderP,2020-05-29
405535223,akoadalahako,id,4983405,BCS Gaming,BCS,2020-05-29
402103349,W4nda^^,,7234152,WANDAAAAAAAAAA,,2020-05-29
401792574,Taiga,no,2163,Team Liquid,Liquid,2020-05-29
401653350,Young God,,7800448,Apex,Apex,2020-05-29
399885807,-----,,7300389,Magician,,2020-05-29
397462905,Dark,cn,0,KEEN GAMING,KG,2020-05-29
394879200,yoona,,5805234,You Know Who,YKW,2020-05-29
390217220,Dulashtr,kg,7868517,.,.,2020-05-29
389033587,Dreamocel,id,7732977,BOOM Esports,BOOM,2020-05-29
387748352,Numb,ru,0,No Creativity,NC,2020-05-29
386545209,i like sushi,,0,,,2020-05-29
385750274,J e i m a r i,pe,7869044,Infinity E-sports. ,Infinity,2020-05-29
382225911,a,,6143582,Vampire Gaming,Vampire,2020-05-29
381253334,Magical,vn,0,496 Gaming,496,2020-05-29
380320771,鲜衣少年,,0,Dawn Gaming,DG,2020-05-29
378786336,Slash,bo,7035716,D2L Young,D2L.Y,2020-05-29
376376587,Kaiyko,cn,5066616,Team Serenity,Serenity,2020-05-29
375507918,23savage,th,350190,Fnatic,Fnatic,2020-05-29
372595310,   :)           ,,0,   ,,2020-05-29
371759313,dot,,7683006,booby inspectors,FBI,2020-05-29
371082984,         ,ch,5067297,Team Mid,TM,2020-05-29
370177319,hPL,ph,0,NCGC,NCGC,2020-05-29
370141815,TSHunter,,5055770,Gorillaz-Pride,G-pride,2020-05-29
369751488,xy-,,7574919,Dota My Goal,DMG,2020-05-29
363871826,Petushara,,0,Team Unique,Unique,2020-05-29
363724571,X1aOyU,,7980054,123,,2020-05-29
