Account_ID,Date,Previous_Days,Kills_Sum,Kills_Number,Deaths_Sum,Deaths_Number,Gold_Per_Minute_Sum,Gold_Per_Minute_Number,XP_Per_Minute_Sum,XP_Per_Minute_Number,Lane_Efficient_Points_Sum,Lane_Efficient_Points_Number,Hero_Damage_Sum,Hero_Damage_Number,Tower_Damage_Sum,Tower_Damage_Number,Hero_Healing_Sum,Hero_Healing_Number,Stuns_Sum,Stuns_Number,Tower_Kills_Sum,Tower_Kills_Number,Courier_Kills_Sum,Courier_Kills_Number,Actions_Per_Minute_Sum,Actions_Per_Minute_Number
88470,2015-06-26,1800,58363,7579,44744,7579,3638796,7579,4050171,7579,233940,3641,141359004,7579,15011929,7579,4334297,7579,119260.7691592727,3634,3600,3645,395,3645,603326,3645
88470,2015-09-24,1710,58363,7579,44744,7579,3638796,7579,4050171,7579,233940,3641,141359004,7579,15011929,7579,4334297,7579,119260.7691592727,3634,3600,3645,395,3645,603326,3645
88470,2015-12-23,1620,58044,7555,44634,7555,3624343,7555,4034710,7555,233940,3641,140927432,7555,14938294,7555,4332067,7555,119260.7691592727,3634,3600,3645,395,3645,603326,3645
88470,2016-03-22,1530,55421,7307,43385,7307,3490682,7307,3899838,7307,233940,3641,136977468,7307,14426157,7307,4273124,7307,119260.7691592727,3634,3600,3645,395,3645,603326,3645
88470,2016-06-20,1440,49000,6558,39053,6558,3090179,6558,3516379,6558,232841,3622,126527860,6558,12683302,6558,3958482,6558,118712.53243727273,3619,3568,3626,395,3626,600218,3626
88470,2016-09-18,1350,43322,5907,35100,5907,2741169,5907,3171452,5907,230982,3593,116441343,5907,11344215,5907,3736639,5907,118126.65385617276,3597,3525,3597,393,3597,595131,3597
88470,2016-12-17,1260,40720,5599,33395,5599,2579668,5599,3013814,5599,225971,3517,110195226,5599,10561375,5599,3626987,5599,116461.37884453272,3521,3451,3521,392,3521,580687,3521
88470,2017-03-17,1170,38173,5331,31727,5331,2444973,5331,2872381,5331,223934,3483,104290937,5331,10016830,5331,3474638,5331,115568.95621843271,3487,3425,3487,386,3487,574216,3487
88470,2017-06-15,1080,35423,4948,29531,4948,2264572,4948,2674426,4948,214117,3312,97524818,4948,9311001,4948,3264082,4948,110628.84580870667,3316,3310,3316,364,3316,541380,3316
88470,2017-09-13,990,33370,4635,27754,4635,2132110,4635,2518614,4635,205823,3161,92045714,4635,8874147,4635,3127364,4635,105010.43653507264,3165,3204,3165,347,3165,512599,3165
88470,2017-12-12,900,31688,4369,26124,4369,2012090,4369,2378692,4369,203536,3121,87282920,4369,8399741,4369,2928556,4369,103880.5711032726,3125,3176,3125,347,3125,505453,3125
88470,2018-03-12,810,29170,3913,23706,3913,1810178,3913,2150825,3913,195553,2986,80285894,3913,7642256,3913,2608140,3913,101338.89910466257,2990,3046,2990,333,2990,481334,2990
88470,2018-06-10,720,26839,3600,21820,3600,1669291,3600,1987528,3600,186537,2839,74525944,3600,7189045,3600,2442068,3600,96123.44592922264,2843,2930,2843,317,2843,459726,2843
88470,2018-09-08,630,22597,3050,17972,3050,1411173,3050,1686845,3050,155227,2345,63251972,3050,6138601,3050,2044127,3050,79583.86609357464,2349,2429,2349,289,2349,392462,2349
88470,2018-12-07,540,17426,2415,13985,2415,1109086,2415,1336214,2415,117167,1770,50113951,2415,4948762,2415,1624430,2415,62666.59181157456,1773,1807,1773,243,1773,308094,1773
88470,2019-03-07,450,15424,2153,12545,2153,984574,2153,1195713,2153,105442,1598,45087433,2153,4423882,2153,1527202,2153,56735.09701047457,1601,1633,1601,232,1601,277696,1601
88470,2019-06-05,360,12942,1822,10806,1822,820652,1822,1012875,1822,99313,1510,38257992,1822,3674866,1822,1327440,1822,53455.75724405755,1513,1524,1513,222,1513,261749,1513
88470,2019-09-03,270,8591,1245,7456,1245,540667,1245,677526,1245,72913,1124,25243650,1245,2257176,1245,970878,1245,38179.01197315754,1125,1050,1125,201,1125,196434,1125
88470,2019-12-02,180,5946,890,5238,890,373495,890,472583,890,52080,820,17671151,890,1486871,890,876636,890,24780.31663662003,821,726,821,178,821,144484,821
88470,2020-03-01,90,2395,409,2207,409,162772,409,209660,409,23268,370,7411078,409,653536,409,489710,409,9645.720982040004,371,304,371,102,371,66112,371
1296625,2015-06-26,1800,27151,3373,19745,3373,1542318,3373,1674368,3373,111503,2101,54709574,3271,5934298,3271,3155272,3271,89970.26029542008,2005,2166,2107,188,2107,311457,2026
1296625,2015-09-24,1710,23784,2989,17428,2989,1364293,2989,1483993,2989,106006,1992,49347122,2887,5392834,2887,2958109,2887,84414.82215242002,1913,2073,1998,180,1998,307655,1998
1296625,2015-12-23,1620,21122,2657,15550,2657,1212465,2657,1325922,2657,99584,1867,44874116,2557,4912512,2557,2723704,2557,80386.28066532001,1812,1946,1872,166,1872,288752,1872
1296625,2016-03-22,1530,18940,2357,13832,2357,1079943,2357,1191957,2357,93065,1736,41605792,2287,4570684,2287,2470177,2287,74967.16338777001,1692,1848,1741,155,1741,268663,1741
1296625,2016-06-20,1440,16025,2011,11624,2011,916515,2011,1021701,2011,82022,1539,36824459,1942,4027683,1942,2211890,1942,68137.40668597005,1527,1619,1544,129,1544,239887,1544
1296625,2016-09-18,1350,14396,1849,10670,1849,832392,1849,934279,1849,77242,1460,34114880,1780,3754292,1780,2155650,1780,65548.80743477007,1464,1546,1464,121,1464,227880,1464
1296625,2016-12-17,1260,13284,1729,10008,1729,770934,1729,874171,1729,73480,1399,31479578,1660,3448458,1660,2055051,1660,62828.43443897008,1403,1473,1403,111,1403,218639,1403
1296625,2017-03-17,1170,10382,1379,7894,1379,596255,1379,694442,1379,61110,1180,24444966,1310,2631758,1310,1577253,1310,53331.25920247005,1184,1240,1184,88,1184,184826,1184
1296625,2017-06-15,1080,7803,1096,6251,1096,453052,1096,541257,1096,45183,908,18500080,1035,1776486,1035,1252410,1035,42489.37210947005,912,785,912,53,912,143212,912
1296625,2017-09-13,990,6689,977,5672,977,396103,977,477096,977,42664,855,17173276,976,1663166,976,1209290,976,39224.76717377004,859,740,859,44,859,135047,859
