Match_ID,Player_Slot,Radiant_Win,Duration,Game_Mode,Lobby_Type,Hero_ID,Start_Time,Version,Kills,Deaths,Leaver_Status,Party_Size,Skill
113599239,2,True,2625,1,0,4,2013-01-31,,7,14,0,,
114259153,4,True,1899,1,0,4,2013-02-01,,4,5,0,,
114491549,3,True,1289,1,0,4,2013-02-02,,1,1,0,,
115263637,3,False,1494,1,0,4,2013-02-02,,1,10,0,,
115398388,0,False,1999,4,0,88,2013-02-03,,4,9,0,,
115479851,131,False,1382,1,0,88,2013-02-03,,4,2,0,,
116119446,0,True,2951,1,0,88,2013-02-03,,3,8,0,,
117108180,128,False,2417,1,0,88,2013-02-05,,4,4,0,,
117900349,129,True,1968,1,0,4,2013-02-06,,0,0,1,,
118594529,132,False,1638,1,0,88,2013-02-06,,1,5,0,,
118610337,128,True,1523,4,0,27,2013-02-06,,1,3,1,,
119374092,2,False,2048,1,0,14,2013-02-07,,2,9,0,,
119916345,132,True,2932,4,0,38,2013-02-08,,7,11,0,,
120068643,2,False,3689,1,0,4,2013-02-08,,5,12,0,,
120221908,128,True,3657,1,0,4,2013-02-08,,7,12,0,,
120372269,2,False,2134,1,0,4,2013-02-09,,2,8,0,,
121043087,132,False,2284,4,0,6,2013-02-09,,6,8,0,,
121396776,132,True,1813,1,0,88,2013-02-10,,4,5,0,,
121413320,4,True,2257,1,0,6,2013-02-10,,7,9,0,,
122240655,128,True,1244,4,0,50,2013-02-10,,3,6,1,,
123086585,0,True,1862,4,0,32,2013-02-11,,3,5,0,,
123920000,1,True,1419,4,0,36,2013-02-12,,5,0,0,,
124011677,130,True,2478,1,0,85,2013-02-13,,2,11,0,,
124787142,4,False,2554,1,0,6,2013-02-14,,6,13,0,,
127275567,129,True,1803,1,0,4,2013-02-16,,2,7,0,,
127323812,4,True,2177,1,0,88,2013-02-16,,3,9,0,,
127530518,129,True,3150,1,0,60,2013-02-16,,3,12,0,,
128431629,3,True,1261,1,0,6,2013-02-17,,4,4,0,,
128622746,128,True,2119,1,0,60,2013-02-17,,9,7,0,,
131134296,1,True,2122,1,0,4,2013-02-20,,11,6,0,,
131278419,1,False,1153,1,0,4,2013-02-21,,1,4,1,,
132044940,4,False,1854,1,0,4,2013-02-21,,7,10,0,,
133168868,132,False,2415,1,0,88,2013-02-23,,4,11,0,,
133767808,130,False,2006,1,0,88,2013-02-23,,4,6,0,,
133812755,130,False,2360,1,0,88,2013-02-23,,10,9,0,,
134270916,4,False,2524,1,0,6,2013-02-24,,5,10,0,,
134967630,132,True,2175,1,0,4,2013-02-24,,3,12,0,,
135156044,3,False,2235,1,0,6,2013-02-24,,5,6,0,,
135274595,4,False,3022,1,0,88,2013-02-25,,8,7,1,,
136071167,130,False,1801,1,0,4,2013-02-26,,9,3,0,,
136937128,128,True,2691,1,0,4,2013-02-27,,10,15,0,,
137683862,129,True,2262,1,0,88,2013-02-27,,10,6,0,,
137770392,132,True,2042,1,0,88,2013-02-28,,0,4,2,,
138401640,132,True,3422,1,0,4,2013-02-28,,8,11,0,,
139296507,130,True,2152,1,0,4,2013-03-02,,2,14,0,,
140118114,130,True,2409,1,0,6,2013-03-02,,1,12,0,,
140142729,128,False,1863,1,0,14,2013-03-03,,0,7,0,,
140250691,128,True,1845,1,0,14,2013-03-03,,3,13,0,,
140265361,3,False,1774,1,0,43,2013-03-03,,4,11,0,,
140967006,4,True,1990,1,0,14,2013-03-03,,6,4,0,,
141009677,132,True,2367,1,0,14,2013-03-04,,4,8,0,,
141025010,0,False,3163,1,0,14,2013-03-04,,9,18,0,,
141662123,131,True,1639,1,0,14,2013-03-04,,2,5,0,,
142367329,0,False,2131,1,0,14,2013-03-06,,1,5,0,,
143749430,128,True,1774,1,0,54,2013-03-07,,0,10,0,,
143811374,130,True,1895,1,0,4,2013-03-08,,8,8,0,,
144509125,3,False,2252,1,0,88,2013-03-08,,7,10,0,,
144634503,132,True,2115,1,0,4,2013-03-09,,12,8,0,,
145479795,4,False,2823,1,0,29,2013-03-09,,7,10,0,,
145584604,132,True,3638,1,0,29,2013-03-10,,8,13,0,,
146209909,131,False,2575,1,0,60,2013-03-10,,7,5,0,,
146245821,129,False,1767,1,0,60,2013-03-10,,11,0,0,,
146283525,129,True,1834,1,0,60,2013-03-11,,0,7,1,,
146294425,2,True,1581,1,0,60,2013-03-11,,7,0,0,,
146304382,128,True,2172,1,0,60,2013-03-11,,20,7,0,,
146911961,3,False,3109,1,0,60,2013-03-11,,11,14,0,,
147579081,1,True,2620,1,0,29,2013-03-12,,8,7,0,,
147605364,2,True,2180,1,0,60,2013-03-12,,16,4,0,,
147647159,132,True,2511,1,0,60,2013-03-13,,9,7,0,,
148911800,0,True,1995,1,0,60,2013-03-14,,7,3,0,,
148939496,4,True,2315,4,0,85,2013-03-14,,1,6,0,,
149624787,128,True,2545,1,0,60,2013-03-15,,0,9,1,,
149632250,132,True,2258,1,0,61,2013-03-15,,4,7,0,,
149663726,4,False,2594,1,0,60,2013-03-15,,6,11,0,,
150429293,128,False,2399,1,0,29,2013-03-16,,8,5,0,,
150655107,0,False,1122,1,0,85,2013-03-17,,2,3,1,,
150666921,3,False,2608,1,0,85,2013-03-17,,9,14,0,,
150734871,2,False,2151,1,0,60,2013-03-17,,10,5,0,,
